"rand","email","categoria","categoria1","categoria2","categoria3"
"0.180032","amigos eu preciso resetar uma siemens hipath 1120 pois a senha de programação geral foi trocada como eu faqco para retornar a programação de fabrica obrigado","1","1","1","1"
"0.92825"," A pasta deve ser boa, com 4.7 W/m-K. O que não quer dizer muita coisa, mas deve estar no nível de uma MX-4 ou ZM-STG2.

 

Mas esse PCYes zero K5 parece ser bem ruizinho. 6ºC mais quente do que um Xigmatek de 3 heatpipes. Seis graus é o mesmo que comparar um air cooler básico com um water cooler. O Z3 aparece no review do Wraith da AMD apenas 2ºC abaixo do cooler box padrão da AMD. Ou seja...

  ","3","1","1","1"
"0.6513455","Boa tarde,

Sera que me pode ajudar? ja lhe enviei um mail, necessito programar uma central que foi comprada no ebay, e funcionou ate hoje! por azar com mau tempo perdeu programaçao...

como a posso reprogramar~?

Deutch telekom T - ""Octopus E Modell 30""..

sei que é uma siemens hicom 150 E

Se me poder ajudar ficarei muito agradecido","1","1","1","1"
"0.0216201","necessito programação da central hipath 1150 da siemens.e da operadora

profiset 3030 , urgente.

desde ja obrigado.","1","1","1","1"
"0.1842949","Tenho uma central Intelbras 6020, a placa da fonte ficou danificada e foi resolvida, agora o defeito está no TI. Ela não está recebendo os dados pelo TXTI. Já verifiquei na placa da fonte o transistor e o ci foto-acoplador e cheguei a trocá-los mas o defeito continuou. O Microcontrolador do CPU está mandando os sinais digitais para a placa da fonte, (chequei pelo osciloscópio) mas da placa não manda pelo TXTI. Se possivel queria que os meus colegas me ajudassem ou com esquema elétrico ou pelas dicas.","1","1","1","1"
"0.377029"," Instalei o water cooler corretamente, apliquei uma boa pasta térmica e a temperatura caiu bem em relação ao que estava antes, rodando na casa de 55° a 75°,com o cooler box chegava aos 100° fácil, mas mesmo assim acho que ainda esta muito alta, pois meu pc não é para jogo.

  Queria desabilitar o aviso da BIOS mas acho que não tem jeito.","3","1","1","1"
"0.2546019","oi Pessoal...meu macbook não está inicializando direito, não está indo para a página das contas para entrar na área de trabalho do mac...tudo começou quando eu limpei os meus arquivos na minha inicialização, que fica em contas de usuário em preferencias de sistema, pensando que iria melhorar a rapidez da inicialização...engano meu...agora não inicializa até o final como antes...ja tentei ""command + R"" e até entrei na tela de inicialização de disco...ja até instalei novamente o OS S el capitan e nada...alguem pode me dar algum dica de como retroceder a ação que eu fiz na minha inicialização? obrigado ","2","1","1","1"
"0.6013382","Encontrei no site da empresa Agecom o manager e e o manual de serviço para linha Hipath 3000 ( 3300 3350 3500 3550 3700 3750 3800 5000) atualizado pode ser que o seu manager esta desatualizado","1","1","1","1"
"0.1873787"," gente atualmente eu uso esse pc

placa-mãe asrcok fm2a55m-vg3+

processador amd dual core a4 4000 3.2ghz box

cooler original amd

placa de vídeo amd radeon r7 240 2gb ddr3 128bits

memória 4gb ddr3 1600mhz

hd 250gb sata3 7200rpm  ","3","1","1","1"
"0.1740005","Ja na parte de chamada, cada escritorio pode usar qualquer linha (rota 0), o que eu queria é dividir as linhas tambem para chamada em 2 grupos (saindo pelos troncos de cada escritorio), mas com a possibilidade de que esgotadas as 4 linhas principais daquele escritorio, eles pudessem usar as outras 4 do outro escritorio, pois as ligaçoes ora se concentram em um lado do escritorio, hora em outro lado. Se a explicação estiver confusa me indiquem onde que tento melhorar.

Eu uso o software programados da intelbras","1","1","1","1"
"0.2259112"," Olá, este é o modelo do meu imac: 

Apple iMac ""Core i7"" 2.8 27-Inch (Late 2009) Specs

Identifiers: Late 2009 - MC507LL/A - iMac11,1 - A1312 - 2374

o problema do meu imac é que ele não inicia completamente fica com essa tela no anexo. uma vez eu consegui iniciar ele, mas ele ficava todo travado. tentei fazer reinstalação do sistema, até funcionou por uns 5 min ae travou e não ligou mais. ","2","1","1","1"
"0.8993281"," a questão é que o i5-650 só tem dois núcleos. É um i3 camuflado. Para ficar com o i5, então compre um i5-750 (que tem quatro núcleos) e um cooler. Vai dar uma melhorada no gargalo.

 

Ou, se você tiver planos, compre apenas o cooler e depois faça um upgrade de todo o kit. ","3","1","1","1"
"0.8963596","boa noite,eu adaptei um xeon na placa-mãe intel dg41rq,so estou tendo um problema,entra no windows normal,so quondo eu vou reniciar o pc ai nao da video,so da video se desligar o computador,alguem tem uma solução?","3","1","1","1"
"0.9630782"," Cara, ambos são ótimos processadores levam na boa a GTX 1060.

Nenhuma delas prejudicará o desempenho da placa. 

 

O i5 7400 é o Kaby Lake 7ª Geração  (Linha recem lançada)

O i5 6400 é o Sky Lake  6ª Geração(é a preferência ""atual"")

  ","3","1","1","1"
"0.8500506","Eu formatei meu mac e depois disso, quando conectei meu hd externo e clico em ""obter informações"" em ""compartilhamento e permicoes"" esta escrito - voce somente pode ler- , e não consigo habilitar ele para poder editar, deletar pastas, acrescentar... nem nada ","2","1","1","1"
"0.0237242","Olá

me ajuda estou com um problema na central de PABX Euroset line 16 I Siemens,todos os ramais e até o pabx você puxa a ligação da tom de discagem mais qd completa a ligação da tom de ocupado,como se estivesse trancado a linha,já resetei a central mais não consigo,parece que a linha está bloqueada,mas recebo ligação normal.","1","1","1","1"
"0.6190897"," fala ae beleza,  preciso de uma ajuda ( Pra quem manja de regedit)

( especificaçoes do pc abaixo )

 

  quero ajuda porque  eu configuro os Cache l2 e l3, mais simplesmente n le( ou algo do tipo porque, ativando o l2 e l3 o desempenho em jogos ou em qualquer outra coisa   deveria subir um pouco , ja fiz  em outros pcs e funcionou ) ele n reconhece que eu ativei os cache,  n sei o que acontece, a uma semana atras eu tinha feito o processo ja e funcionou( e o desempenho do pc melhorou muito )  mais dps de um tempo ele n funcionou mais","3","1","1","1"
"0.7777041"," Olá pessoal, boa noite, eu tenho um problema no meu MacBook Pro

Eu não consigo formata-lo, eu acho que pode ser o HD que esta bricado,

ou o cabo flat que liga ele a mobo, por isso eu queria ter a certeza de onde estar o

problema, pra mim poder resolver seja comprando outro HD ou um cabo novo.. ","2","1","1","1"
"0.9067885","Bom dia a todos estou com um problema ja faz umas 2 semanas e gostaria de ajuda de vocês, ao fazer o boot do ios pelo USB ao conectar apertando a tecla Option ele começa o progress porém quando chega na metade ele reinicia toda vez, qual o procedimento que fiz acabei fazer o recovery pelo Command + r quando ele finaliza aparece a tela para que instale o sistema que ele pede para o HD, ate ae tudo bem, começa a instalar no HD, quando finaliza ele começa a fazer o Loading novamente e reinicia novamente, lembrando que o HD é um SDD novo, acredito que possa ser a memória pois troquei a original dele 4 GB (2 pente cada) por 8 gb, mas o problema so aconteceu agora ae instalar o IOS, como faço para verificar ou se alguem ja passou por isso. Obrigado","2","1","1","1"
"0.3003109","Bom Dia Valadão.

Possuo uma central Siemens Hi path 3550, e gostaria de saber como adicionar mais um ramal a um grupo existente.

Por exemplo:

Quando disco 355, tocam os ramais, 5406 e 5407. E gostaria que também acionasse o ramal 5405.

Agradecido.
","1","1","1","1"
"0.817046"," caros, tenho um mac mini meados 2010, está bastante lento. configuração é

 

modelo 4.1

memoria 4gb (2 x 2gb)

core duo

1 processador

 

uso muito pouco, ligado na tv, para filmes e principalmente navegação. esta bem lento mesmo. peguei o mac mini usado, num rolo, sempre foi lento,

 

era para ser lento mesmo?  ","2","1","1","1"
"0.7511605"," Oi pessoal, meu macbook white está com a tela cinza, já entrei na tela de restauração (command + R), porém não consigo pegar minhas fotos através de backup, acho que devo ter desativado. Tentei reparar o disco, também não deu certo.

 

Eu poderia formatar ele sem problemas, mas antes preciso de fotos e arquivos muito importantes que estão nele. Visto que só consigo acessar a tela de restauração, alguém sabe o que posso fazer para resgatar os arquivos?

 

PS: Tenho um iMac, o qual eu poderia transferir os arquivos e também um hd externo.

  ","2","1","1","1"
"0.0468035","Fonte de alimentação

Battery Box 2 - K5403 - X - 1

Não sei para que servem os dois módulos opcionais, o segundo tem um cabo com uns 10 pares saindo dele. E não encontrei onde conectar a caixa de bateria, e não cheguei a ver se a bateria está boa.

Ontem encontrei um manual deste modelo, bem técnico (obviamente para um profissional da área), que me ajudou a entender um pouco mais, mas também surgiram mais dúvidas. Esta central suporta linhas digitais. O que é uma linha digital neste caso? Uma linha de um ATA Linksys PAP2-T é digital?

Obrigado gente!","1","1","1","1"
"0.311191","Bom dia!

Tenho a seguinte configuração:
Core i5 750 (quad core sem treads)
8GB RAM DDR3
GTX 650 Ti

Agora em 2017, qual seria um substituto para esse meu processador?
Eles esta overclocado de 2.6gh para 3.4gh
Percebo que no CS GO se eu jogar no alto o uso vai pra mais de 90% fácil dando até alguns gargalos
No Rise of Tomb Raider coloquei tudo no mínimo por causa do uso de processador e tendo gargalos ainda

Entre os substitutos quais eu poderia considerar aproveitando a minha memória ddr3, trocando apenas placa-mãe e processador?
fx 6300, algum pentium, alguma apu, algum i3, ou somente outro i5","3","1","1","1"
"0.3154849"," Ola.

Estou com um problema nos meus monitores. A visualização está invertida!!!

Tenho dois monitores. Um Mac 20 pol (é o principal com resolução melhor) e o secundário com resolução inferior.

Fui gravar um DVD e travou o programa. Reiniciei a maquina e os MONITORES VIERAM INVERTIDO (a visualização).

Já fui em configurações e mexi lá e nada... Não volta como antes.

P.s. Quando tiro o cabo do monitor 2. O monitor 1 assume como principal. Quando volto o cabo, continua o problema. ","2","1","1","1"
"0.309377","Minha dúvida é o seguinte, em jogos para quem só vai usar placa de entrada tipo r7 360 e rx 460, haverá alguma diferença entre os processadores i3 3220 - i3 3240 - i3 4170 - i5 3330 ou posso pegar o mais barato?    ","3","1","1","1"
"0.7892264","Olá, Estou com um Imac core 2dou -  que quando tentar inicializar a tela fica preta e o som de inicialização fica em loop repetindo e não aprece nada, alguém poderia me ajudar ? Eu abrir tirei o HD e ficou a mesma coisa. ","2","1","1","1"
"0.4079807","É extremamente relativo, tudo irá depender tanto dos padrões de instalação, capricho e mantenedor que irás contratar, pois os dois equipamentos são de excelente qualidade, sendo que o Hipath 1190 pode ser que apresente mais falhas do que o Ericsson, porém creio que a manutenção deste último seja um pouco mais cara do que da Siemens. Mas como disse é muito relativo. Ah, outro fator que conta muito é sua rede interna, não adiante ter equipamentos de qualidade e rede precária, você irá ter problemas em pouco tempo.","1","1","1","1"
"0.2292429","Olá amigos,

Tenho uma Siemens Euroset Line 16 e recebi uma Euroset Line 16i. Minha maior dúvida é, qual a diferença entre as duas? O que a 16i faz que a 16 não faz?

Dai me leva ao segundo problema. Eu não sei se a 16i tá funcionanndo. Recebi ela como parte de pagamento de um cliente que faliu. Alguém em Curitiba que poderia dar uma olhada pra mim?

Eu não sei em quem confiar porque um tempo atrás levei uma central Intelbras em uma ""assistência autorizada"" só para limpeza e manutenção e queriam me cobrar uma fortuna pra trocar placas, pois estavam queimadas. Engraçado que tava funcionando antes de ir pra assistência! Dai não confio em deixar a central em uma assistência, não sei se vão trocar as placas por queimadas e me cobrar por isso. Dai quero uma indicação de confiança, de preferência que venham aqui e façam o serviço no local ou onde posso levar e acompanhar o serviço. Descuple ser cético, na minha área tá cheio de picareta também.

Valeu a todos pela ajuda nos dois pontos.","1","1","1","1"
"0.3417278","Obrigado Fernando, mas já tentei. Aliás tentei de tudo. Enviei para uma autorizada e diagnosticaram queima da placa de vídeo. A Apple e a NVidia reconheceram uma falha de material nestas placas que saíram com os macbooks entre 2007 e 2008. Chegaram a fazer uma espécie de recall mesmo após o período de garantia e trocaram milhares de placas. Mas creio que hoje em dia não seja mais possível trocar sem custo. Aliás, mesmo que eu pague, não sei se conseguiria uma placa para substituir esta.

A autorizada me pediu R$600 para ""tentar"" uma resoldagem da placa mas sem garantia nenhuma de funcionamento. Aí fica difícil né....","2","1","1","1"
"0.1304537","

Boa noite pessoal..

Estou com um problema, tenho um mini mac e sempre que coloco o meu hd externo nele ele fica travando, quando ejeto o hd externo fica funcionando tudo certinho, mas quando coloco o usb do hd externo o cursor do mouse já volta a travar.. Será que vocês poderiam me ajudar?
","2","1","1","1"
"0.0589577","Amigo, preciso muito de sua ajuda , moro em uma cidade pequena e aqui É tudo muito dificio, eu li nos ultimos dias muita coisa sobre pabx digital , porém ainda não achei aqui o q procuro , q É os requisito basito ptra ru ter instalar um pabx digital , sou tecnico porém novo no mercado , sou muito esforÇado , adoro desafios , ","1","1","1","1"
"0.6992394"," Bom! como não vi movimentação do tópico, continuei buscando por mim.

O problema aparentemente é a geração dos processadores que são distintos! o processador i3 é um M350 e o i5 é um 2410m. Segundo o que encontrei na net, identificamos as gerações dos processadores pelo primeiro número mostrado. Assim, o i3 é de 3ª geração e o i5 da 2ª geração, isso procede","3","1","1","1"
"0.9060924","Cara é um bom investimento se puder pegar um Kit DDR4 Pois DRDR3L e DDR3 podem gerar problemas com skylakes ","3","1","1","1"
"0.9011135","Estou com um problema no meu MacBook Air. Coloquei em Standby e quando tentei retornar, ele estava morto. Carrega a bateria normalmente mas a tela fica preta. Não acende CAPS, não faz nenhum barulho. Simplesmente como se tivesse morrido. Alguém sabe o que pode ser!? ","2","1","1","1"
"0.6154561"," Gostaria de sabe a opinião de quem possui e tem experiência com computadores da Apple, estou interessado em comprar um Macbook de 13,3 polegadas com as seguintes configurações 

 

MacBook OS X (2009)","2","1","1","1"
"0.9462271"," Eu estava Instalando Leopard em MacBook apareceu uma imagem estranha, que não sei o que é...

parece ser para apertar alguma coisa, mas não achei nada parecido no corpo do aparelho.

(instalando via boot por CD original)

segue imagem anexa.

alguém sabe como devo proceder depois disso? ","2","1","1","1"
"0.2466534","PABX PABX LEUCOTRON SOHO - PARA ATÉ 4 LINHAS E 12 RAMAIS -

Boa noite, nao estou conseguindo fazer o desvio de chamada(sigame-externo)

coloquei as duas linhas no TR01 E TR02 E DOIS TELEFONES RAMAIS NO RM20 E RM21

vi no manual pra ativar o siga-me externo *9031. fz isso e depois desse codigo fica o sinal de tu tu tu tu bem rápido.

tentei gravar um numero na memoria pra a discagem externa *7(11memoria)+numero externo+gancho ,, quando termino de discar *7 e vou discar um local da memoria de11 a 19 ja da aquele sinal de ocupado bem rápido sem parar.","1","1","1","1"
"0.1371482","Meu macbook pro tem 2 anos de uso e não inicializa, sem nenhum som. A bateria está carregada, aparece o led da bateria carregada. Já tentei inicializar pelo PRAM e SMC , mas não obtive sucesso em nenhuma etapa. Estou desesperada, se alguem puder me ajudar, ficarei imensamente grata. ","2","1","1","1"
"0.6612231","Olá! Já cacei em toda a interner e não encontrei nada...

Alguem teria o manual da placa TME1 - Siemens e/ou o Trunk Manager?

Abraços,","1","1","1","1"
"0.40191"," Boa noite, bom dia, boa madruga! Eis a situação:

Tenho um notebook ACER 4739Z, porém já acrescentei 4Gb de ram e troquei o processador para um i3 M350 com 2.27Ghz.

Comprei um processador i5 que funcionou em outros notbooks. Porém, quando ponho ele no ACER a única coisa que acontece é ligar o led do power por 1 segundo e apaga, e mais nada. Gostaria de saber se é algum problema na máquina que pode ser resolvido, ou qual a causa de não ligar. 

 

(CONFIGURAÇÃO DE FÁBRICA DA MÁQUINA: 2GB RAM, PROCESSADOR Pentium)

(CONFIGURAÇÃO ATUAL: 6GB RAM, PROCESSADOR i3, Socket 989 rPGA) ","3","1","1","1"
"0.2841628","Para a correta instalação, as cores dos fios devem ser observadas conforme o tipo de cabo que você deseja conectar ao PABX. Veja a tabela a seguir:

CABO SERIAL

SINAL

COR DO FIO

COR DO CABO

GND

PRETO","1","1","1","1"
"0.151625","Vocês podem comprar um Q9550 original 775 no Aliexpress por cerca de R$ 110, sem precisar dessas gambiarras. ","3","1","1","1"
"0.5218472","

Se o HD não estiver no formato da Apple sim vefique que tipo de porta ele usa e plug
","2","1","1","1"
"0.4663227","

Bom Dia. Estou iniciando no mundo do Mac OS e estou gostando tanto do desempenho que decidi trocar as maquinas de casa de Dell/Windows para Mac. O primeiro que peguei foi um Mac Retina 2013 que minha esposa já se apropriou e preciso de outro para mim. Estou entre o Macbook Air 13 I7 por causa da mobilidade e o Macbook 17 I7 por causa da tela de 17 em Full HD e possibilidades de upgrade.  A mobilidade não é problema no momento, mas a capacidade de processamento sim, pois pretendo editar videos e imagens e alguns jogos em FPS (Ocean Steel e World of Warships). Compatibilidade com o El captain, Time Capsule e Apple TV também são importantes pois eu pretendo adquirir ambos.
Qualquer dica será muito bem Vinda.
","2","1","1","1"
"0.5621265"," Tive observando inúmeros posts de usuários e alguns tem dúvida no uso de um xeon para jogos ou quaisquer outras atividades. Então, dentro do meu poder aquisitivo adquiri um modelo e5 2620 v4, achando que talvez iria ter um processador bom, mas não foi bem o esperado.

 

Montei numa configuração nova: x99-a, 32gb ddr4 (4 x 8gb ddr4 ballistix) com uma rx480, destinado para fins de jogos. Ainda não testei para esse fim, mas de saida obtive tanto erro que literalmente me deu mais nojo desse processador.

 

Para começar, o processador não é liberado para over, não aceita o modo x;m.p (se ativar, a placa não da boot), tem que ser tudo padrão, tudo no automático, senão o metido ""impirulita"".

 

Testei de primeira instancia o aida64 apenas para tirar uma base com os demais processadores que tenho aqui

 

No cpu queen o octa-core xeon deu 51650 pontos, pontuação de i7 4790.

Cpu Photoworxx deu 31mb/s, pontuação muito boa, digna de i7 5930k. 

  ","3","1","1","1"
"0.4640588","verifique se é a entrada serial do seu micro esta na porta correta com o comm server (icone que aparece no tray ou barra de ferramentas ao lado do relogio), apos verificar a porta correta atualize a velocidade de conexão juntamente com a programada via KS (por padrão 19200, se não me engano). Se nenhum destes casos resolver, desconecte o cabo, feche e manager","1","1","1","1"
"0.6065728","Pessoal, estou me aventurando no mundo dos Macs e queria saber de dicar para evitar pegar vírus e coisa e tal. Meu Mac não tem drive óptico, se tiver que formatar a máquina, como faria?","2","1","1","1"
"0.9357419","Olá boa tarde, estou reinstalando uma central digital siemens 1150, e instalando novos ramais neles tenho tom de disco porém não consigo chama-los, creio deva ser programação de numeração flexível, todavia no manual não tem como programar, e como não conheço bem esta central solicito auxílio.

um forte","1","1","1","1"
"0.2607902","Meu iMac não está ligando.... Aconteceu de uma hora pra outra, não acende o led do botão, não faz nada.... Já troquei de tomada, já testei com outro cabo de força, nada acontece.... Estou achando que pode ser algum problema na fonte, mas não tenho como testar, não conheço ninguém que tenha mac e ainda preciso procurar uma assitência técnica.....","2","1","1","1"
"0.5764688"," Bom dia Matheus essa versão de processador i3 da segunda geração custa da vários problemas comum no exterior como parada de um núcleo físico ou erros na arquitetura lógica pode ser o seu caso. O jeito mais fácil de descobrir é monitora a temperatura do processador que no caso do 2310m é máximo 80-100°c cuidado se ele chegar a essas temperatura ou a cima dos 70°c pode danifica outros componente como cooper memória e HD e até mesmo a placa-mãe.

  ","3","1","1","1"
"0.326514","Olá a todos, sou técnico e me deparei com o seguinte caso.

Macbook Pro - i5 - 8GB - HD500

Chegou as minhas mãos pelo excesso de lentidao, estava com Captain (que eu nao gosto)...  então ao verificar e tentar otimizar o sistema, vi que era impossivel frente a lentidao do sistema.

Resolvi fazer backup e instalar o Mountain Lion, assim que dei boot pelo pendrive de instalação e assim que comecei o processo já percebi o excesso de lentidao tmb nao açoes dentro do Utilitario de Disco ( comecei a desconfiar da integridade do HD).

Quando iniciei a instalação, demorou mais de 2 horas e nao andava nada, ai entendi que o problema era o HD, que estava morrendo...
","2","1","1","1"
"0.5024289","Tenho uma Hipath 3550.

Pode me informar se o software de programação da central é o Siemens Hipath Manager E V7 209 ?

Onde posso adquirir o cabo de programação?

E o manual de serviço da 3550","1","1","1","1"
"0.547081","Boa Tarde

Em primeiro lugar venho agradecer a todos vós a possibilidade de pertencer a este forum.

Tenho o seguinte problema, que passo a descrever.

Faço parte de um Corpo de Bombeiro Voluntarios em Portugal e actualmente fiquei responsavel por todo o sistema de comunicações internas e externas do Corpo de Bombeiros e temos uma Central siemens Hipatch 3550 a qual até cerca de dois mêses a tras era assistida por uma empresa a qual neste momento fechou e por tanto ficamos sem assistencia. O que se passa é que muitas das vezes tivemos varios problemas com configuração e outros e como devem saber não podemos estar varios dias á espera que o tecnico se desloque ao quartel para efectuar a reparação , não podemos estar sem comunicações durante muito tempo , pois pode estar vidas em risco.","1","1","1","1"
"0.6869833","também to com essa dúvida.. somente o novo modelo de placa-mãe Z270 ja vem de fábrica com suporte aos processadores de 7º geração ?? todas as placas antigas tem que atualizar a bios??","3","1","1","1"
"0.3330345"," O método da gota é para cooler com base redonda, o meu é de base quadrada, pode ser usado o método das linhas ou espalhando mesmo,como eu fiz..usei uma boa pasta à base de prata.

  Minha fonte não é das melhores mas também não é das piores. é uma fonte de 550 w reais da marca Mtek chinesa como quase tudo que se compra hoje em dia.","3","1","1","1"
"0.1083234","Então, ontem a noite eu estava usando normalmente. Quando conectei o cabo USB do celular, ele desligou e desde então não liga mais. 

No momento em que desligou, estava no carregador - agora, todas as vezes que conecto, a luz fica verde fraco e as vezes piscando. Não há sinal de vida; nenhuma luzinha, ou som, ou qualquer coisa.

Segui os passos para resetar SMC","2","1","1","1"
"0.8280745","Olá colegas de telecom. necessito da ajuda para resolver o problema com o commserver do manager versão 7.0 hipath 1100 está instalado em um netbook com windows 7 starter a versão do manager é a mais recente versão 7.0R8.39.0 e commserver versão V7.0R12.23.0 toda vez que vou conectar tenho a mensagem não é possivel conectar com commserver e o icone fica sempre apagado. já verifiquei a compatibilidade no windows e continua a mesma coisa.","1","1","1","1"
"0.6842843","estou com intelbras pointer 416 sem ring. quando resetei pela primeira vez ficou legal.

defeito voltou. agora reseto e defeito continua. temos alguma solução?

abraços","1","1","1","1"
"0.0114112"," Estou com um problema no meu macbook Pro middle 2012. Parece ser mais um mistério que um problema :)

Ja tenho um SSD no lugar do HDD e, agora, comprei mais um SSD pra colocar no lugar do drive óptico de DVD. Aliás ja tinha colocado o HDD antigo no lugar do drive óptico e funcionou e funciona até hoje. 

O SSD antigo foi instalado tranquilamente e funciona perfeitamente no lugar destinado ao HDD. O SSD novo foi um parto para instalar. Depois de muitas tentativas consegui instalar tudo com o El Capitan. O problema (mistério) vem agora: tanto o SSD novo como o antigo só funcionam no lugar destinado ao HDD original. Se colocá-los no lugar do drive óptico (com o caddy) não funcionam. O mais estranho é que o HDD funciona no lugar do drive óptico com o caddy. 

Já dei uma pesquisada esses dias e penso que o problema possa ser ou o flat cable do drive óptico ou o que é ligado ao caddy. Mas como pode o HDD funcionar? Pode ser problema de o cabo não estar conseguindo mandar energia suficiente para os SSDs. 

Outra coisa: o SSD novo, quando bootado no lugar do HHD original funciona, porém, durante o boot, quando entra a maçã, ele escurece a tela um pouco e fica meio marrom bem claro. O led de descanso também não acende. Diferentemente do SSD antigo que liga normalmente sem esses eventos no boot.

  ","2","1","1","1"
"0.9752668"," temperatura máxima recomendada pela AMD para o FX-8350 é de 61ºC. Mas não entre em pânico, pois o HWinfo64 está lendo errado (obviamente). É um bug conhecido e que a AMD deixa rolar há anos. Isso vai acontecer em todos os apps, como HWmonitor, AIDA, Real Temp, Core Temp, SpeedFan, etc.

  ","3","1","1","1"
"0.3349626","Pessoal , queria saber se um processador com o passar dos anos pode começar a abrir programas mais lentamente como se fosse uma ""vida útil"" , e também qual processador da nova geração que não seja tão caro (1.300 pra baixo) e seja melhor que o i7 3770. Obrigado","3","1","1","1"
"0.2469844","

Quando estou instalando o mac no macbook no fim da instalação ele diz que a seguinte mensagem (ocorreu um erro ao preparar a instalação tente executar este aplicativo novamente)

alguem pode mim ajudar e dar alguma solução?
","2","1","1","1"
"0.5828455","Jorge, pela descrição está parecendo que este ramal não está com C/D associado, caso tenha absoluta certeza de que está, revise o cabo e a tomada onde está ligado, mas ainda creio que não esteja.","1","1","1","1"
"0.1136914","e o problema for só sobreaquecimento, sim, eu tentaria por um cooler potente. Mas se o caso for outro, pegaria o i7-860, afinal, sua maquina teria mais folga para jogos, evitando gargalos em jogatinas com mais de 2-3 horas seguidas. ","3","1","1","1"
"0.1905731","Possuo um HD externo (My Passport - WD - 1T).  Quando o comprei formatei exFAT para usar tanto no PC como no MAC (air 13""), e sempre usei ele assim, sem problema algum.

 

Acontece que agora o MAC não está reconhecendo o HD. Já no PC eu consigo acessá-lo.

 

Ele também não aparece no Utilitário de Disco.

 ","2","1","1","1"
"0.1446481","oa noite,

No Tele Suporte (Na Disa1 e na Disa2) de um Pabx todos já configurei a Mensagem Diurna (mensagem 01) e a Mensagem Noturna (mensagem03).

No TGC Advanced já fui no Atendedor Automático e fiz as configurações necessárias e o atendimento diurno está funcionando perfeitamente.

Já quando eu vou em Configuração/Serviço Noturno e coloco o ""Estado Atual"" como ""ligado"" ele abandona a tabela que eu criei de datas e horários e independente do horário o PABX trabalha como se fosse Noturno.","1","1","1","1"
"0.0722895","Sem dúvidas o i5 6400 é bem melhor que o i3, simplesmente pelo fato do i3 ser dual core, e o i5 quad core. Em jogos CPU bound o i5 é relativamente superior. Possuo esse mesmo processador, e estou muito satisfeito com ele, apesar do clock ser relativamente baixo, ele tem desempenho muito satisfatório","3","1","1","1"
"0.8283686","Estou com um problema em uma central digistar xt88, ela foi tranferida fisicamente de um local para o outro, tem um e1 instalado, mas esta so com 1/3 dele sendo utilizado. O problema é que depois da transferência a central as vezes trava e fica dando tom de ocupado para o chamador e so volta ao normal depois de resetada. Não consegui identificar o problema, nao sei se é da própria central ou da operadora.....tenho pouca experiência na área de telefonia e se puder me ajudar, ficarei grata.","1","1","1","1"
"0.998373","

Galera, alguém sabe como instalar uma biblioteca no ltspice mas pelo mac? No windows é só substituir a pasta da lib já existente em arquivos de programas mas pelo mac não consegui. 

 

Agradeço desde já
","2","1","1","1"
